,DNA_0_11_A,DNA_0_11_B,DNA_0_11_C,DNA_0_5_A,DNA_0_5_B,DNA_0_5_C,DNA_0_7_A,DNA_0_7_B,DNA_0_7_C,DNA_0_9_A,DNA_0_9_B,DNA_0_9_C,DNA_10_11_A,DNA_10_11_B,DNA_10_11_C,DNA_10_5_A,DNA_10_5_B,DNA_10_5_C,DNA_10_7_A,DNA_10_7_B,DNA_10_7_C,DNA_10_9_A,DNA_10_9_B,DNA_10_9_C,DNA_110_11_A,DNA_110_11_B,DNA_110_11_C,DNA_110_5_A,DNA_110_5_B,DNA_110_5_C,DNA_110_7_A,DNA_110_7_B,DNA_110_7_C,DNA_110_9_A,DNA_110_9_B,DNA_110_9_C,DNA_40_11_A,DNA_40_11_B,DNA_40_11_C,DNA_40_5_A,DNA_40_5_B,DNA_40_5_C,DNA_40_7_A,DNA_40_7_B,DNA_40_7_C,DNA_40_9_A,DNA_40_9_B,DNA_40_9_C,DNA_70_11_A,DNA_70_11_B,DNA_70_11_C,DNA_70_5_A,DNA_70_5_B,DNA_70_5_C,DNA_70_7_A,DNA_70_7_B,DNA_70_7_C,DNA_70_9_A,DNA_70_9_B,DNA_70_9_C
DNA_110_7_C,1.93294453495902,4.37412380693794,-4.08966880424064,-9.17692501503715,-9.71744939329355,-9.5109059692465,-8.26213152442856,-8.77824081494669,-8.83523739814932,-5.44579293790513,-6.31524334852733,-4.23512748307334,-2.34750699603639,-0.0860173632566948,-2.13801509158673,-2.80517829600153,1.93312300627156,-0.586660370335076,-2.70279418989493,0.772161670245303,-0.977358878234334,-3.41859619827675,-1.88583884717623,-2.03998761016095,-9.64224393063831,-9.02775075841548,-10.0179798158827,-12.4118717643201,-10.6350509764901,-11.7377751089348,-10.4006045287868,-12.4578615114329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_110_9_A,1.46613974624085,3.23722092220094,-4.64833013771497,-8.85945497731637,-8.50335607758767,-8.50931209324786,-7.11501134435708,-8.12190429226309,-7.95526474551067,-4.7718127511708,-4.98015936176196,-4.03160127005917,-0.924400733155691,1.86272510991828,-0.873319106348553,-0.601743974789978,3.21744527664603,1.17653385007714,-0.56124178644688,2.85806494575984,0.438489686767118,-2.21322605417614,-0.592603695310188,-1.09605912096831,-9.70641459389923,-9.48643277726767,-9.67876716957363,-8.76810089123751,-9.94683583875885,-11.2984274166006,-10.8348517879719,-11.9646748114739,-11.6044430731085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_110_9_B,1.76779628595563,3.79782685914761,-4.64010036743536,-8.52864683532775,-7.72161885440022,-7.616591042885,-6.57207927473456,-7.77348397704399,-7.56912522532395,-5.0402556455082,-5.35904582162471,-4.00200341321477,-0.418603023350059,2.58211944861712,-0.341608340328402,-0.0442377944895557,4.35220359962909,2.09128210572641,0.607499867283954,4.01528900164318,1.62356201759578,-1.05495043210719,0.660453049726082,-0.124800947076071,-11.013488561722,-9.27054552616092,-11.6602149814784,-10.4889208256953,-10.7647790232152,-12.1609293634728,-11.7778161731889,-12.7006049654129,-11.2175733731739,-10.9665430923723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_110_9_C,1.12938202894578,3.3740311036803,-3.8819894497858,-7.93318133540948,-7.86454858291795,-7.71558903783478,-6.48395969469375,-7.66615295812906,-7.75150494807898,-4.52557751202809,-4.64919150714945,-3.75692034631458,-0.475815969833916,2.15615648060513,-0.466960293822752,-0.250281059597168,3.28190993734454,1.21429717571102,-0.30336075187944,2.8607948883674,0.89043868758682,-1.88780074095179,-0.183609387137871,-0.632631921417032,-11.0265033726081,-10.1735658176162,-10.11209285738,-10.490166167452,-10.3829674919461,-10.6318454946171,-11.5087196760166,-12.9776480655644,-10.2544054505457,-10.6660761355384,-10.7287959270367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_40_11_A,0.606578540555616,1.24312515247139,-4.75837839847041,-7.90991315811741,-7.94379300789279,-5.56907234829838,-6.74393006121088,-7.25250597479651,-7.50934789158931,-5.65407956921332,-5.51426730979816,-4.27269476472998,0.769696897384116,3.59902882583205,0.943078427607446,1.30337272469429,5.08122913861967,3.22127033633157,2.01480491519956,4.44799295983085,2.35416432425016,-0.0490475396898539,1.43383082745067,1.4203784057708,-12.6634726207649,-13.0891983736316,-13.1815827517716,-12.1342450677843,-10.6851629334108,-10.7405634256741,-14.1911101117385,-13.8899473388363,-12.8214125213618,-12.6634145044279,-12.2150264949279,-12.4703479021083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_40_11_B,2.75163475354577,3.90962999581377,-2.90223810491399,-6.43240491044318,-6.41953760834759,-4.93196262632193,-5.34127814393141,-6.37965252348396,-6.38403059028339,-4.54428598963133,-4.26513730332063,-2.98903063253652,1.12304990648438,3.59953788506672,1.20037597525685,1.93380849537918,4.96548409989145,3.37431108973771,2.21202382703573,4.30259878495007,2.39664052876866,0.157379495906551,1.57214996465692,1.39130923696503,-11.9571491912845,-12.4500704713063,-13.7573081665923,-12.3373470957844,-11.2215185369905,-12.7057280292247,-12.5379163942246,-12.8895915235609,-12.7380164379365,-12.3908730404193,-12.3422715352049,-12.5509510354526,-8.63870738380646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_40_11_C,2.65128380615362,3.68470611023466,-2.74149103679636,-7.08829703777102,-6.92159293505297,-5.52321718726153,-5.96559310782145,-6.54868617473346,-6.68698465417407,-3.77676170732495,-2.9404076971442,-2.38456287702661,1.0679301622178,4.656565287604,1.04694500765694,2.48398431361361,4.8866132392948,3.55663723343544,2.19366886604648,4.57619991328215,2.62657289912929,0.0341861265066523,1.42324516619956,1.33214291189582,-13.2432986030261,-13.7393694744585,-14.1697500927494,-13.1264632394691,-11.9090667309503,-11.964314745754,-13.6360057524405,-13.5922143215867,-13.9503311933976,-13.8568439285612,-13.3639952336585,-13.7218605229456,-9.82615123323168,-9.77918356927302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_40_5_A,3.49141781602311,5.14006650191942,-2.39503777710177,-7.09495435252082,-6.38844854147507,-5.10669136181138,-4.73326847507164,-7.02997847876148,-6.53000906066435,-4.36054595533489,-3.95892716374811,-2.13747084588291,2.1571329101638,5.36320757002564,2.29645581856215,3.38985645766011,6.84312002179796,5.35954950377022,4.19644264750234,7.18566678602109,4.44745725199048,1.20269082319059,3.07375499357537,2.82979743514426,-12.714250914953,-12.6517257088836,-13.1045411383267,-12.4439855567605,-11.5324361027223,-11.3488069540894,-13.1713949890395,-13.0112767365026,-12.3729854007969,-12.648256381203,-11.4751225497054,-12.5544145318562,-7.27833483478314,-7.41427032193987,-7.70533725363934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_40_5_B,2.07441352465778,4.06195608675365,-3.45904896902076,-7.49443373482557,-7.26371992059137,-5.80873917688404,-5.89142555378068,-7.11399726011233,-7.20353122270313,-4.71370279306743,-4.90473656806323,-3.39873933989672,0.798653076712036,3.05877097235452,0.917152560010332,1.37437747957685,4.66786040573122,3.19062559445779,1.97730383676613,4.23475105224912,1.980870376735,0.0827826631466347,1.62532465683384,1.31269027161347,-13.2810950396779,-13.0925957118532,-14.3807576439229,-13.4892813890505,-12.4158353654615,-12.7098210993562,-13.7851816434462,-13.5331234388667,-13.9619131542417,-14.4582414651751,-13.6705099496934,-13.9809892550246,-9.13175004599024,-10.3631845431352,-10.4444869006402,-7.9907241319964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_40_5_C,3.14404048713781,4.19622239455076,-2.93648571659751,-8.07010168117783,-7.46347313091924,-5.72439068163546,-6.52599501600523,-7.24675734900758,-7.53477738427,-5.34506895090986,-5.30825275089661,-3.41590729198734,0.832733415864668,3.34342058258969,1.13824148368954,1.3755282579005,4.99192468590227,3.14135516600275,1.88982651937075,4.51727853258416,2.09410478820406,0.233650845316196,1.71523003633738,1.52613035143228,-12.8437847786257,-12.9004199113737,-14.0780907683387,-12.9002506578947,-11.8590070542235,-11.476213425288,-13.335555040763,-12.6068073122536,-13.4657689167556,-13.4223105404023,-13.4169398312434,-13.0973463386803,-9.00348841438714,-9.03919188710193,-8.40054891711924,-8.04636660077155,-9.25337895853538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
