,cDNA_0_11_A,cDNA_0_11_B,cDNA_0_11_C,cDNA_0_5_A,cDNA_0_5_B,cDNA_0_5_C,cDNA_0_7_A,cDNA_0_7_B,cDNA_0_7_C,cDNA_0_9_A,cDNA_0_9_B,cDNA_0_9_C,cDNA_10_11_A,cDNA_10_11_B,cDNA_10_11_C,cDNA_10_5_A,cDNA_10_5_B,cDNA_10_5_C,cDNA_10_7_A,cDNA_10_7_B,cDNA_10_7_C,cDNA_10_9_A,cDNA_10_9_B,cDNA_10_9_C,cDNA_110_11_A,cDNA_110_11_B,cDNA_110_11_C,cDNA_110_5_A,cDNA_110_5_B,cDNA_110_5_C,cDNA_110_7_A,cDNA_110_7_B,cDNA_110_7_C,cDNA_110_9_A,cDNA_110_9_B,cDNA_110_9_C,cDNA_40_11_A,cDNA_40_11_B,cDNA_40_11_C,cDNA_40_5_A,cDNA_40_5_B,cDNA_40_5_C,cDNA_40_7_A,cDNA_40_7_B,cDNA_40_7_C,cDNA_40_9_A,cDNA_40_9_B,cDNA_40_9_C,cDNA_70_11_A,cDNA_70_11_B,cDNA_70_11_C,cDNA_70_5_A,cDNA_70_5_B,cDNA_70_5_C,cDNA_70_7_A,cDNA_70_7_B,cDNA_70_7_C,cDNA_70_9_A,cDNA_70_9_B,cDNA_70_9_C
cDNA_10_9_A,7.56537095683044,9.2707165553827,-3.97491764355277,-4.99528794755906,-6.21247886787276,-6.46070741983021,-6.36185463288702,-6.72473184602435,-6.1604927320818,-3.77196138426803,-4.40217569741068,-4.20913359323921,-11.8516702158373,-11.3405588548642,-11.0259195081261,-9.05011007952112,-4.73452144701555,-12.1481023799078,-12.4814152816994,-8.40664614773944,-10.2066871159357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_10_9_B,7.87337541321905,9.66182493781404,-3.596050207153,-4.17028610944888,-4.7120798312464,-4.81957337643581,-5.98676978163463,-5.58886737083312,-5.47216809661058,-3.49938603389575,-4.34758582402096,-3.6043507411963,-12.0781084354788,-12.0181620844096,-11.7729048068112,-10.5197578409257,-5.57697041915797,-13.9020980978987,-13.6305971789234,-7.43444503944655,-12.2254919380781,-10.8608036907126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_10_9_C,5.74283464853719,7.08480395974093,-4.52468409992975,-4.87021939194536,-4.87035214102135,-5.72066968318899,-6.09083518280381,-5.56058835586661,-5.51807878587723,-3.89835013280305,-4.55830951477582,-4.54418253503387,-12.1145279314485,-11.4987272227405,-12.5466344086653,-9.04488415929305,-4.03985176552397,-12.0403421802441,-13.1970396206903,-9.26090758795589,-12.1961065061991,-12.475442954046,-12.677268725644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_110_11_A,0.641579097127263,0.672986686352168,-5.50024257162449,-4.0624854279978,-7.0754964506101,-4.89621629864911,-3.88112547982945,-3.96541908933166,-3.26383185115375,0.118965865408301,-0.557301828558227,-2.49495969829403,0.93683284931661,3.87520396249065,1.35133552613921,1.54817748655347,10.7092070002372,4.9609504821212,8.72812862670755,10.5655959509187,12.5255445172519,1.07441452496122,5.0242167028978,1.01500858547047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_110_11_B,2.68933000351787,3.80083259765841,-5.78123133390706,-3.77004318982124,-6.66389497305403,-4.58035312483303,-2.86951261376584,-2.87947760001726,-1.91846644267713,0.183615650527241,-0.310938406658282,-2.12348130768168,1.26532809112177,4.72813409146114,2.33355588016574,1.84201371724183,13.0778238587992,6.66719224112284,10.6726016661586,11.5763103735408,13.9804249268259,1.83311098324188,5.89916388075139,1.78577942748134,-9.15456346941639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_110_11_C,2.43318473767398,3.45992619824625,-5.56785097665402,-5.2851377369398,-8.23715488692931,-5.995118748533,-4.11513987706486,-4.08647878408812,-3.30401581927198,-0.521834496022032,-1.14576023754613,-2.79020604539885,-0.282226828562688,2.39583272676983,0.572648477325995,0.321057485273853,11.3534134149813,4.81475845207562,8.52012442290287,8.66905939029698,11.4232668939022,-0.422923344027821,3.77535544080961,0.230477727840515,-10.979370020531,-9.39285425544071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_110_5_A,7.93593170145017,10.6961764245383,-3.34310523591017,-6.47459833882048,-9.65539603949698,-6.54020672927077,-5.77127401512729,-5.76994790682176,-5.08808797649606,0.516581963798645,-1.01969099411483,-2.99195216394049,-0.0441272756195534,2.34653839034354,0.0515641744076773,0.210374357710613,9.98064009258412,3.46129851587483,6.65595443013784,9.61574686914344,10.3059551394351,0.623392265636442,4.86794899921874,-0.0425470267233182,-7.14566466419747,-5.76987119655382,-9.99723577083391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_110_5_B,5.44598290085995,7.39956432947669,-4.26191624264657,-5.9465254191413,-8.66368163311445,-6.01878338414349,-5.76528669825016,-5.62159161302085,-4.94274619563896,-0.307720845691628,-1.27679900694043,-3.10446538608205,-0.576798096687805,1.36674584935563,-0.436345075798609,-0.0387442441203642,7.72150465690653,3.21463455405178,5.39732184949248,6.94199800083353,8.59430615546679,-0.867695236519571,2.67232646405371,-1.15052677556471,-8.58006096096366,-6.57145674267913,-9.14482733968367,-11.4858865205981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_110_5_C,7.13101752015433,9.62787895112789,-3.21505169195327,-5.52874472079006,-7.89508014045402,-5.70704161594829,-3.67805059101287,-4.4745291175633,-3.30090876564579,0.723415236970045,-0.88357497315687,-2.34337279708866,0.922267315734268,2.97690391156835,1.3313669977051,0.704727238424627,10.9146158126863,5.82364391332667,7.750211226874,9.45556104963825,10.3130202184089,0.949253722442411,4.93887789764222,0.543736564902401,-7.66501476022252,-7.19952904265452,-9.52159457090056,-12.6021921304587,-12.977405616549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_110_7_A,6.12821218578534,8.41424842052792,-3.65473431229116,-4.04914905118482,-8.88278767239923,-4.01125272833956,-3.239351806702,-4.99436664767547,-4.71186845729536,0.336869489290179,-0.817497369057677,-2.03936308545872,0.085855606603605,2.9116572790135,0.649810369090656,1.19083162255856,9.08354876142669,3.8819969026251,4.69749263488859,7.72754154555745,7.22342788769269,1.13056666485282,2.6430274064644,-0.167681771228458,-5.39615436167095,-2.63115784313341,-8.08899261541617,-8.51385535355539,-8.74548463877886,-8.42648739350497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_110_7_B,7.11545729128206,10.0891919431901,-3.20509191289928,-3.76019006126967,-7.0224346949565,-2.89137899876048,-3.30316910197296,-4.04690914548009,-4.1056886491242,2.43029053548898,2.09832291633593,0.195014802410466,2.31264154216068,5.66500662204712,1.7791992832831,3.92827037256614,8.92868590483746,6.08359768091074,5.60864941686634,9.67882293331648,8.43766921289962,-0.5079011676773,1.90450364570492,-0.509679069937357,-8.58846759533485,-5.05061140840977,-10.7775020431865,-13.1029657708541,-10.3006687918254,-10.3536399291962,-11.0230159323445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_110_7_C,6.96144972848948,9.36707108284892,-5.76660129769024,-5.50161144553421,-10.0318855905044,-5.8353643776863,-5.80913571016604,-6.40220172314646,-6.1688498745555,0.037918051753185,-1.44236564871964,-3.2649436155155,-0.865921834727141,1.96108849713928,-0.447767895727582,0.335890094086129,7.72791743045443,2.52395655585584,5.66682715117085,8.59650556663726,7.98815966313333,-0.264218016950351,2.30353434499942,-0.798315035387108,-6.01756742534962,-4.10431987464707,-7.4475380563317,-10.8492572489485,-10.9028052633548,-8.70166346306309,-9.38894631352017,-13.2292801453415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_110_9_A,7.21530445244593,10.5387066979814,-4.75746610846028,-4.2437537347795,-7.03872973314242,-4.43896414384462,-5.18382067918879,-4.62960048323859,-4.47107928721999,1.74170096134837,1.60053427440692,-1.11096016548478,2.53572294619909,6.70946265218574,2.24628352528144,4.23725352105698,11.856590297689,6.36517861410117,10.0682641914197,14.6962104543429,13.9763881232677,0.519193374576935,4.82232514957943,0.91366207065696,-8.29713654514423,-8.28269489289359,-10.4354077256693,-8.18839866968964,-10.0394270318373,-8.87420016179303,-6.51202100425675,-11.2586456332027,-9.04390807450528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_110_9_B,7.58139131593313,10.6479456524038,-4.81553521436681,-4.30569799693793,-7.00208925505627,-4.79394990308461,-3.16815015121652,-3.28018326398342,-2.60213285398982,0.375918195269851,0.235752261976485,-1.9220559540252,1.43812664047162,4.99795430114806,2.62707753635619,1.50557388312843,13.999663853618,7.26455981748169,11.5102217008357,15.1962612395074,13.4846580483022,2.44492980220079,7.31259411509145,1.80621650283947,-9.45820866285646,-7.94828008840411,-11.2145337880653,-11.4076992980033,-11.4383980823287,-9.20938070623492,-7.85383242518553,-11.8377963576405,-9.28120665914745,-8.57127152469834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_110_9_C,7.12448590248898,10.1787445189794,-4.5454422863183,-4.79060253340085,-8.38290972654369,-5.63982857184995,-3.3074295276864,-4.28918307418854,-3.2335630263507,-0.0438166915117703,-0.831997407757318,-2.53784699753293,0.51970192210343,3.4848000399947,1.19334945693053,0.753796643121647,12.462424125042,5.74552638724722,8.84330707261927,12.8719770301768,10.7685518859943,0.430864415250846,5.0783784382404,0.42363460579723,-6.85500946048818,-5.42500097424381,-8.2127778226794,-11.6653018067418,-11.270199307732,-9.58842826290467,-8.46211062869162,-12.9208683435796,-8.40352535259939,-8.77248142072788,-10.3646252926811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_40_11_A,3.29952673410361,4.187475296388,-4.01416626111378,-3.36931836807678,-5.96783501190766,-4.08600069852298,0.550690203207152,-0.297477059633073,1.51478790308851,1.03329843052867,0.331190024191481,-0.736123312760167,2.61413435114071,6.01424040382898,4.99247177211437,1.42549613353876,19.8796787940731,10.9587996238963,14.5068447128102,17.9772227125665,17.0861314431861,4.84006356821795,8.9352060000745,3.51664308881374,-10.9490343866079,-6.54420039382179,-7.07808150375101,-7.01742345098265,-9.26851221225376,-8.66614501339484,-4.814412002768,-6.64307920131443,-6.64231859346111,-9.26582609126099,-10.3168819005329,-8.52647104155661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_40_11_B,7.4591108467288,9.9527472192241,-2.57649374998908,0.10357958847934,-5.67127569373166,-3.46519179948402,-0.969770302454819,-1.20916739198414,-0.114048741044728,1.30518359717272,0.628658096894939,-0.556122147806851,1.96106828328914,4.84907726142146,3.84611213368302,1.25867462771684,15.5680797486538,8.64414124130903,11.6961089238122,14.7197625293157,14.3482720896443,4.3251847572924,6.61169606082889,2.78475618271833,-11.7126395973322,-6.22252119919273,-6.66881116344926,-6.80960578825521,-11.5649728605694,-12.0155952669255,-11.3093454771744,-9.4317955278202,-11.5766072793705,-11.3851017901681,-11.6518483812074,-11.6409261169735,-10.6372593664816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_40_11_C,7.537064077809,10.1768662300351,-3.45420872821524,0.479913809086286,-5.49498655439022,-3.23044977599324,-1.87210181624198,-1.56687903303848,-0.660349836261759,0.68009811494103,-0.291708648022211,-1.78948614778031,3.34022069241095,8.40635458760323,5.1363043168258,5.55670231549911,15.2968441708997,12.4181452166727,11.6788072154263,14.7488666183426,15.8019829724234,3.64956666074703,6.00613918243302,2.99693647639453,-11.8403587718077,-6.17845043147712,-6.70421264277715,-6.62681355806507,-9.72991486785854,-9.7327290027967,-5.48214629101682,-7.24332525566578,-7.88096355401791,-11.269725053233,-11.9661346213054,-10.164746585088,-11.1900693743593,-9.02024909384535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_40_5_A,8.84350444377164,11.4045575223955,-3.04628737876696,-5.27754080393904,-8.61054270152226,-5.6193420578053,-4.46033026561112,-3.87822744314239,-3.68159248274641,-0.390234791785689,-2.09853420998273,-3.55977997696593,0.739395994768723,2.66826781756826,1.34688598976073,0.383704288512655,10.9241379258646,3.94562161367027,7.59094077213621,11.8947850500772,10.4879626770759,2.4159313516161,4.27568554584102,1.14009616979494,-11.9759924513797,-6.62596279669472,-6.94682631393041,-7.04430563879016,-11.8483723655517,-11.5842351036523,-12.3779072927505,-9.44125061039658,-13.6588187757393,-12.2736946573727,-12.1993631711916,-13.5063233615002,-6.61750578398364,-8.67055829330834,-8.3021925761013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_40_5_B,8.75577815547117,11.5753933186549,-2.23568149364189,-4.72169299581066,-7.96166166278248,-5.16601187649704,-2.5569814337607,-3.0765828803947,-2.37780408893773,0.183056658772724,-1.26608820399376,-2.45889453977532,1.71117800534314,3.54782804193414,2.79821957668314,0.712453023486617,13.9230927756895,6.67203430947249,9.33723544786535,13.2863440744409,12.2439189289928,3.69946022269887,5.54148624504362,2.30753584508991,-11.3373997905306,-6.65651738949448,-7.03547951039654,-7.11187761608459,-14.528264086106,-14.1825295965791,-12.7967176474369,-13.674402621458,-13.87797045604,-13.0132265295573,-13.0470100802384,-14.2731263931685,-6.3772637272478,-7.82264488120879,-5.81930726929618,-9.59995347406681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_40_5_C,8.48826076064782,10.5377991967402,-2.97520850496812,-3.99110770241434,-7.60952319059514,-5.22188340912243,-0.90024070138931,-0.970845142814483,0.0766907528836538,0.889627231840093,-0.382929890664835,-1.67317831200062,2.32337518738746,4.42070542376806,3.97102206996154,0.898465201081444,14.8545435986408,8.10891546987232,10.6087191332828,13.6191188190644,12.4609928732331,4.14447821334291,7.45625867355389,3.04006916467568,-7.02674461056445,-6.47431575383244,-8.85200213704443,-9.10946723271655,-9.9643781604721,-7.4776367174406,-7.66583063423085,-4.50473016745363,-13.0997699119187,-4.33441912564991,-7.28223895203884,-11.6290052301445,-6.41788022816802,-4.39652611156955,-4.75310464229379,-5.93366099806553,-8.89920227107555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_40_7_A,8.25979040772321,11.3493428203119,-4.31577608266695,-5.05744264372479,-8.63897986302454,-5.89598543867748,-2.36761448247928,-3.02177946021333,-1.8132399491278,-0.804009529519014,-2.15934498762283,-2.97113782527687,1.68715545747881,3.71642099304979,3.05762260050908,0.615599842850668,13.6409172791699,7.4868384854815,10.4607202566341,15.1267570046697,11.7301573980181,3.70205462098416,6.73604817554761,1.6440295556177,-7.01157731035824,-6.06227657816335,-9.27535691793724,-8.70903841058879,-8.93000353693355,-7.98449410999391,-7.85253999519547,-7.10770828776751,-11.422444852891,-5.33113382905663,-7.20253560848658,-11.5848868142635,-4.34918382839166,-4.97114950931159,-4.94361426572635,-9.52815818864184,-11.0582658496451,-8.32066067759943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_40_7_B,0.475496526573392,0.42289960140817,-2.28417968682998,-0.134575930251908,-3.01846174246094,-1.76744953810946,-1.11362142830209,-1.1684206841508,-0.837692862381991,-0.0787606735940439,-0.534895389369816,-0.740335723164371,0.0586486603582635,2.29406109778112,1.92889800447002,0.225394055382936,5.3131201869306,2.89112935594575,3.65870080613586,3.9426587982989,4.25905734610475,1.72223279690154,2.18965620233199,0.510336019550818,-3.61300801219539,-3.0854758513043,-11.2355230515883,-3.29239446199834,-3.46950925623426,-3.18757131285428,-8.82881943982829,-8.10498359101982,-10.3061012712617,-3.59115165824256,-10.0718426918995,-3.38755573079795,-2.45172518726313,-2.28948637782223,-2.29272442140022,-4.85085580446128,-6.66527316088583,-2.19221235269444,-6.17452741576026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_40_7_C,6.04487663254576,8.55262355086627,-2.67319484256586,-0.603843140595879,-5.24488540677856,-3.24741486217091,-1.27707488455502,-2.4072858963772,-1.16311015368004,0.263789521019457,-1.38742983721126,-2.12860669256209,1.35889881847104,2.69823756859098,2.44565151099614,0.733224814444648,11.6121354532578,6.22032775351142,7.67085381863419,9.65347433021388,9.37549543389191,1.9348837831668,4.67267350728418,0.937755520907181,-11.1475990601864,-9.99317729645929,-11.1363323599098,-11.7079457234554,-10.5656625268057,-9.88606348890127,-10.9516419808312,-9.11992558300069,-10.8974462505057,-11.3362126920406,-11.7914207033784,-11.4979398123159,-7.24357624675996,-8.84476742525016,-7.12596248776247,-9.91725587389764,-9.50857273869894,-6.11642888807873,-9.42702675154147,-1.72753253255765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_40_9_A,8.247647861182,10.9257713143318,-4.2424845522757,-5.2927500691282,-8.03079100403363,-5.68525393138865,-3.84467146666104,-3.82492462622783,-3.13689022925132,0.093501161439553,-0.681114463001493,-2.26641200449803,0.634261932004442,3.22404456336644,2.05085441455065,0.528639184625812,11.7372472215075,6.37850856757369,9.1528707238167,12.4818826256228,11.5590830595739,1.96998712146428,5.02210785604618,0.50732969346198,-12.1830188214599,-7.4702461919488,-7.70889960941698,-8.36865789905396,-12.5545685061011,-10.1308291776573,-10.9037040237639,-13.4898352388146,-10.7158454266675,-11.7651843755429,-13.0993503869544,-11.9870144235932,-7.98497471346984,-9.64448027237536,-10.4290705607864,-5.90542129140686,-7.14980695125001,-5.19749874561398,-3.28044629801745,-7.21792921677935,-8.22909639755212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_40_9_B,7.23623251451907,9.43309277605728,-3.85000493063259,-5.24297207269984,-7.63269297195531,-5.86731506192514,-4.20557212440193,-3.44594464576236,-3.31447350972718,0.257754801902321,-0.741361949191764,-2.44832978349594,-0.0535695500465386,2.89803883520724,0.597776826351003,0.349177428403808,10.3086062714947,4.27273235174756,6.92460016201982,11.2983587764847,10.1472594785842,1.79569954697305,3.87218259566277,0.357030045716362,-11.4112837559121,-6.18706943984205,-6.4765150769889,-6.71235590700796,-11.5399096628442,-10.758019596637,-12.6430567356125,-10.2101628917358,-13.2330661524804,-12.5667679586022,-12.0217406322859,-12.7034654261906,-7.08000906154565,-9.42236065714327,-5.53771648126406,-10.1158468178382,-10.9119282425087,-5.83245540605934,-8.7645022385858,-6.93207912720142,-9.67033769974864,-9.74127069980198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_40_9_C,7.02742466361529,9.75812966655797,-3.45259823031648,-1.07485339461788,-6.98737131872688,-4.35699167024915,-3.47799922561084,-2.94477018351084,-2.68119552901188,0.730279011517506,-0.0284623805684016,-1.88914383573787,2.13062253751154,8.12539054731815,3.07701724176744,4.91194775497914,12.5205414753836,10.3830773733785,9.21664735814202,12.2986947697489,13.828537657609,2.61775673783473,4.17262748852071,1.30507420284896,-11.3644869593849,-5.69433429157537,-5.84033716012478,-5.78423549334272,-11.1032120463983,-10.7867943796975,-11.7158164464386,-10.3677722709129,-13.2926716280169,-12.5212919827252,-12.3192044206523,-12.820686737933,-6.34416236314605,-7.16423098472675,-4.29633778732096,-9.17126649824416,-12.1797966366004,-6.36283391859178,-8.94146397972052,-2.08802329051205,-7.62545271483772,-9.99673344516562,-9.82995768252679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_70_11_A,3.40405757269961,4.80482835983851,-5.7110471311759,-5.05077260160722,-7.92211695626819,-5.38493565506083,-4.34410598218664,-4.84718399590041,-4.21674682316131,-1.063238901519,-1.54859601628599,-2.94207585083186,-1.53176193253152,1.2631124048074,-0.877652367971051,-0.187568728162911,8.74122095194445,2.8112030557333,7.32753700565357,8.80066838524889,8.37470762354601,-2.05580108479823,1.78003602979589,-1.42747979881252,-10.9512388624451,-11.4908489131507,-12.0066666694582,-10.4054070384981,-11.255578036735,-11.1360170259849,-9.34435989055955,-6.46063097128516,-11.9955933288852,-12.5667797850396,-12.634265366789,-10.7484397687928,-13.2684821155556,-12.1991003772607,-12.2143386622237,-12.6469445310555,-13.1831529524354,-8.04117158019515,-9.57675508515209,-4.34397802650069,-11.4896903722906,-13.037877326521,-12.2612640066172,-12.7462582681355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
